"House","Title","ImageUrl","SavedAs","PostUrl"
"4","4711 Remix Cologne Edition 2019","https://fimgs.net/photogram/p640/2y/fv/A8OkWFl34cyP1puQ.jpg","4-4711-Remix-Cologne-Edition-2019.jpg","https://www.dufteriet.no/2025/08/4711-remix-cologne-edition-2019.html"
"A","Abercrombie & Fitch Fierce Cologne","https://media.parfumo.com/perfume_imagery/2f/2f0ca5-fierce-cologne-abercrombie-fitch_1200.jpg","A-Abercrombie-&-Fitch-Fierce-Cologne.jpg","https://www.dufteriet.no/2025/08/abercrombie-fitch-fierce-cologne.html"
"A","Adi Ale Van - U.M.B.R.E","https://media.parfumo.com/perfume_imagery/01/0179f3-u-m-b-r-e-adi-ale-van_1200.jpg","A-Adi-Ale-Van---U.M.B.R.E.jpg","https://www.dufteriet.no/2025/08/adi-ale-van-umbre.html"
"A","AL HARAMAIN - Amber Oud Aqua Dubai","https://media.parfumo.com/perfumes/24/24332b-amber-oud-aqua-dubai-al-haramain_1200.jpg?width=720&aspect_ratio=1:1","A-AL-HARAMAIN---Amber-Oud-Aqua-Dubai.jpg","https://www.dufteriet.no/2025/08/al-haramain-amber-oud-aqua-dubai.html"
"A","AMOUAGE - Imitation Man","https://fimgs.net/photogram/p1200/cd/y7/qSNESLcvV1Lh75qj.jpg","A-AMOUAGE---Imitation-Man.jpg","https://www.dufteriet.no/2025/08/amouage-imitation-man.html"
"A","AMOUAGE - Portrayal Man","https://fimgs.net/photogram/p1200/ei/wu/LScIqO3aUX8y0OAW.jpg","A-AMOUAGE---Portrayal-Man.jpg","https://www.dufteriet.no/2025/08/amouage-portrayal-man.html"
"A","ARGOS - Charon's Vail","https://oligarch.com.au/wp-content/uploads/2024/12/ARGOS-Charons-Vail-Perfume-Australia.webp","A-ARGOS---Charon's-Vail.webp","https://www.dufteriet.no/2025/08/argos-charons-vail.html"
"A","ARGOS - Danaë","https://cdn4.beautinow.com/wp-content/uploads/2024/01/Argos-Danae-Eau-de-Parfum-2.jpg","A-ARGOS---Danaë.jpg","https://www.dufteriet.no/2025/08/argos-danae.html"
"A","ARGOS - Fall of Phaeton ","https://luxeparfum.co.uk/cdn/shop/files/Argos_Fall_Of_Phaeton_Bottle_with_Ingradients_Picture.webp?v=1698846932","A-ARGOS---Fall-of-Phaeton.webp","https://www.dufteriet.no/2025/08/argos-fall-of-phaeton.html"
"A","ARGOS - Neptune's Trident","https://houseofniche.us/cdn/shop/files/yrublqivzxne1.jpg?v=1744214546&width=1445","A-ARGOS---Neptune's-Trident.jpg","https://www.dufteriet.no/2025/08/argos-neptunes-trident.html"
